sep=	
time (source1)	data.0	data.1	data.2	data.3	data.4	data.5	
0	0	0	-1023	1023	0	3470	
0.027	389	168	-932	1023	9	3492	
0.048	384	136	-939	1023	7	3518	
0.073	386	135	-938	1023	7	3539	
0.094	387	131	-938	1023	7	3565	
0.12	387	127	-939	1023	7	3586	
0.141	387	127	-939	1023	7	3612	
0.167	387	127	-939	1023	7	3633	
0.194	387	127	-939	1023	7	3659	
0.214	387	127	-939	1023	7	3685	
0.24	387	127	-939	1023	7	3705	
0.26	387	127	-939	1023	7	3731	
0.286	387	127	-939	1023	7	3752	
0.307	387	127	-939	1023	7	3778	
0.333	387	127	-939	1023	7	3798	
0.358	387	127	-939	1023	7	3824	
0.379	386	127	-939	1023	7	3850	
0.405	384	127	-940	1023	7	3870	
0.425	379	127	-942	1023	7	3896	
0.454	376	133	-943	1023	7	3916	
0.474	346	168	-948	1023	9	3945	
0.504	314	199	-954	1023	11	3967	
0.525	263	239	-960	1023	13	3996	
0.554	239	253	-962	1023	14	4016	
0.579	211	269	-965	1023	15	4045	
0.6	205	272	-965	1023	15	4071	
0.625	192	278	-966	1023	15	4091	
0.65	127	321	-963	1023	18	4121	
0.676	112	333	-961	1023	18	4142	
0.701	62	357	-957	1023	20	4171	
0.726	34	368	-954	1023	21	4192	
0.757	-14	382	-949	1023	21	4223	
0.778	-41	386	-947	1023	22	4249	
0.807	-71	381	-947	1023	21	4273	
0.828	-106	376	-946	1023	21	4299	
0.857	-185	339	-948	1023	19	4322	
0.878	-233	312	-946	1023	17	4348	
0.903	-272	278	-947	1023	15	4369	
0.924	-325	217	-946	1023	12	4395	
0.951	-372	153	-941	1023	8	4422	
0.977	-377	143	-941	1023	8	4442	
1.001	-390	109	-940	1023	6	4472	
1.026	-392	68	-943	1023	3	4492	
1.051	-354	-128	-952	1023	-8	4522	
1.077	-315	-254	-940	1023	-15	4542	
1.101	-271	-347	-924	1023	-20	4572	
1.127	-232	-397	-914	1023	-23	4593	
1.156	-174	-450	-903	1023	-27	4621	
1.176	-144	-474	-896	1023	-28	4647	
1.206	-116	-490	-891	1023	-29	4671	
1.226	-102	-497	-889	1023	-30	4697	
1.252	-85	-504	-887	1023	-30	4718	
1.273	-49	-507	-888	1023	-30	4743	
1.3	-22	-508	-888	1023	-30	4764	
1.325	7	-505	-890	1023	-30	4791	
1.35	43	-503	-890	1023	-30	4821	
1.376	61	-497	-893	1023	-30	4841	
1.401	89	-483	-898	1023	-29	4872	
1.427	105	-475	-900	1023	-28	4892	
1.452	125	-456	-908	1023	-27	4923	
1.478	141	-435	-916	1023	-26	4944	
1.502	184	-359	-941	1023	-21	4973	
1.528	247	-218	-969	1023	-13	4998	
1.556	335	-50	-966	1023	-3	5021	
1.576	371	35	-953	1023	1	5047	
1.606	399	151	-930	1023	8	5071	
1.626	397	164	-929	1023	9	5097	
1.656	395	203	-922	1023	11	5122	
1.679	388	244	-915	1023	13	5150	
1.707	281	586	-791	1023	34	5173	
1.735	183	778	-639	1023	49	5199	
1.755	79	891	-497	1023	60	5226	
1.784	12	920	-448	1023	64	5247	
1.804	-23	942	-399	1023	67	5275	
1.832	-43	945	-390	1023	67	5296	
1.852	-69	945	-386	1023	67	5323	
1.878	-81	944	-386	1023	67	5344	
1.906	-96	942	-388	1023	67	5370	
1.927	-174	920	-413	1023	64	5398	
1.956	-305	878	-428	1023	59	5422	
1.977	-324	865	-440	1023	57	5447	
2.005	-358	849	-445	1023	56	5471	
2.025	-365	846	-445	1023	55	5496	
2.059	-389	838	-440	1023	54	5525	
2.085	-436	813	-443	1023	52	5556	
2.111	-470	792	-446	1023	50	5577	
2.141	-523	739	-477	1023	46	5607	
